Child,Index,Name,IsRec,NumSubFleets,NumOldFleets,Parent,OldFleet2,OldFleet3
midtrawlPEL,0,Midwater trawl on small pelagics,0,1,1,midwcFP,,
dredgeSCA,1,Scallop dredge,0,1,1,dredgeBFS,,
dredgeQHG,2,Surfclam / ocean quahog Dredge,0,1,1,dredgeBFS,,
netDDEM,3,Demersal gillnet on other deep demersals,0,1,1,netFD,,
plineTUN,4,Pelagic line on tuna and sharks,0,1,1,plineFVO,,
pseineTUN,5,Purse seine on tuna and sharks,0,1,1,pseineFVO,,
pseinePEL,6,Purse seine on small pelagics,0,1,1,pseineFP,,
trapLOB,7,Lobster traps,0,1,1,trapBMS,,
dtrawlGOO,8,Goosefish demersal trawl,0,1,1,trapFD,,
dtrawlCEP,9,Demersal trawl on cephalopods,0,1,1,dtrawlCEP,,
dtrawlD,10,Demersal trawl on other deep demersals,0,1,1,dtrawlFD,,
dtrawlS,11,Demersal trawl on shallow demersals,0,1,2,dtrawlFDB,dtrawlFDO,
midtrawlINT,12,Midwater Trawl - international fleet,0,1,1,midwcFD,,
dline,13,Line fishery on demersals,0,1,1,dlineFD,,
rec1,14,Recreational fishery - charter / party,1,1,1,recfish,,
rec2,15,Recreational fishery- private,1,1,1,recfish,,
ptrawlNSH,16,Shrimp trawl,0,1,1,ptrawlPWN,,
dtrawlPEL,17,Demersal trawl on benthopelagics,0,1,1,dtrawlFBP,,
dtrap,18,Trap on demersals,0,1,1,trapFDE,,
NewF1,19,New fishery 1,0,1,1,dtrawlFDB,,
NewF2,20,New fishery 2,0,1,1,dtrawlFDB,,
NewF3,21,New fishery 3,0,1,1,dtrawlFDB,,
